Nummer;Name;Demand;lat;lon
1;Bakery;0;49.8785089;10.1224872
2;Hugo Sauer;4;49.8789211;10.1225274
3;Aschenbrenner;3;49.8794177;10.1213731
4;Altenhoefer;4;49.8770518;10.1236449
5;HugoSchwind;4;49.8773992;10.123138
6;Melinda;5;49.8760752;10.125619
7;Koehler;4;49.8765868;10.1264451
8;Fuchs;5;49.8988819;10.1209958
9;Zeidler;3;49.8991933;10.1264873
10;Schlier;4;49.898326;10.1225176
11;Limbach;2;49.8789944;10.089858
12;Bauer;3;49.8776601;10.0880127
13;Willy;1;49.8778467;10.0825303
14;Furchner;1;49.8779781;10.0817363
15;Siggi O-Feld;2;49.8736706;10.0901263
16;Josh;1;49.8637674;10.1272563
17;Gumpendobler;5;49.8629306;10.1239451
18;Roeding;5;49.8612236;10.1224976
19;Cliff;4;49.8845117;10.1550166
20;Amling;1;49.8828871;10.1565883
